offeror_code,offeror_topic_name,topic_uuid
climate,Adaptation,6de6133e-1484-4c44-a0da-bebfba14ebe7
climate,Adaptation,bbf9880d-8761-4747-8bf7-76b633afc8ac
climate,Advocacy & Activism,03e70cb3-6c6d-4fd0-842c-69cc307e8ef2
climate,Advocacy & Activism,ee6d80cf-c1fd-44c7-9551-475b04e2d6ee
climate,Air Travel,26fb26b7-326e-4d8e-87c9-3eaf775e9ef4
climate,Air Travel,6ce56c4e-d3c3-49ff-84b4-52f6e583e6e5
climate,Alternative Fuels,26fb26b7-326e-4d8e-87c9-3eaf775e9ef4
climate,Alternative Fuels,b58df8d8-bd87-48fc-9acc-f0fce158dda9
climate,Arctic & Antarctic,3ed6c5ae-2dbf-4119-abf1-1e985e5d6fea
climate,Arctic & Antarctic,94eccea1-f581-4305-a4ca-9270ba0bed87
climate,Atmosphere,3ed6c5ae-2dbf-4119-abf1-1e985e5d6fea
climate,Atmosphere,ca9e5834-f3ac-4bdd-b42c-4495f321a1b5
climate,"Batteries, Storage & Transmission",26fb26b7-326e-4d8e-87c9-3eaf775e9ef4
climate,"Batteries, Storage & Transmission",952604ab-ae23-45b3-a040-0e5f26fe42df
climate,Biodiversity,69995333-6068-4190-913c-a394b48ad233
climate,Biodiversity,94eccea1-f581-4305-a4ca-9270ba0bed87
climate,Buildings,de563de2-a548-4a41-9fe5-9b6be9511c01
climate,Buildings,f8260659-5b06-411c-92e0-4303e7a26108
climate,Carbon Capture,26fb26b7-326e-4d8e-87c9-3eaf775e9ef4
climate,Carbon Capture,952604ab-ae23-45b3-a040-0e5f26fe42df
climate,Carbon Pricing,03e70cb3-6c6d-4fd0-842c-69cc307e8ef2
climate,Carbon Pricing,8d0a8bc3-fb72-4e18-8879-ece7a779dcb9
climate,Carbon Removal,ca9e5834-f3ac-4bdd-b42c-4495f321a1b5
climate,Carbon Removal,de7bb282-6cde-4af4-8ae6-fdc9de8323ef
climate,Cars,26fb26b7-326e-4d8e-87c9-3eaf775e9ef4
climate,Cars,952604ab-ae23-45b3-a040-0e5f26fe42df
climate,Cities & Planning,55e47e91-75ef-4369-80be-a726d084ce0d
climate,Cities & Planning,f8260659-5b06-411c-92e0-4303e7a26108
climate,Climate Justice,6de6133e-1484-4c44-a0da-bebfba14ebe7
climate,Climate Justice,bbf9880d-8761-4747-8bf7-76b633afc8ac
climate,Climate Modeling,3ed6c5ae-2dbf-4119-abf1-1e985e5d6fea
climate,Climate Modeling,ca9e5834-f3ac-4bdd-b42c-4495f321a1b5
climate,Communication & Arts,6de6133e-1484-4c44-a0da-bebfba14ebe7
climate,Communication & Arts,aedb383a-4825-4f88-803a-990f9eb8aa45
climate,Drought,3ed6c5ae-2dbf-4119-abf1-1e985e5d6fea
climate,Drought,6de6133e-1484-4c44-a0da-bebfba14ebe7
climate,Education,6de6133e-1484-4c44-a0da-bebfba14ebe7
climate,Education,97de7fb3-a934-496d-90cc-1ab3ea6f7660
climate,Electrification,26fb26b7-326e-4d8e-87c9-3eaf775e9ef4
climate,Electrification,e6dd36cd-a778-451a-933e-9aa7995e6892
