topic_uuid,topic_name,parent_topic_uuid
03e70cb3-6c6d-4fd0-842c-69cc307e8ef2,Climate and Energy Policy,58eeca97-031c-432f-89f5-5b6493bf0dd2
05426c52-eeb7-4abd-9215-884c11441da3,International Development,bbf9880d-8761-4747-8bf7-76b633afc8ac
068a7bf4-0c22-4d6c-8636-92f37b1e47f5,CyberSecurity,c06109bf-cff8-4873-b04b-f5e66e3e1764
0a4ae84b-9552-4c85-8e3c-1ad21233d7d5,Faculty Leadership,97de7fb3-a934-496d-90cc-1ab3ea6f7660
0eb57d6e-d94f-401b-ad77-6a85864eb9d6,Environmental and Climate Justice,58eeca97-031c-432f-89f5-5b6493bf0dd2
10355812-996d-4c5d-aa7f-8f4f84e89286,Entrepreneurship,99ec5b40-e929-4ad9-bccf-7305ef6938b1
13d99dba-f9d6-456a-a3aa-5b7e8604c187,Pathology and Pathophysiology,7a48848c-8254-4644-a718-ea7951272b2f
13f8a623-e373-4fa2-9c23-89a20890291e,Marketing,99ec5b40-e929-4ad9-bccf-7305ef6938b1
170e9d0e-2195-470b-b743-0b13d3ee034e,Geography,bbf9880d-8761-4747-8bf7-76b633afc8ac
1870ce0f-029f-458b-bd90-a650f46877eb,Systems Thinking,99ec5b40-e929-4ad9-bccf-7305ef6938b1
18be729f-bad6-4f27-a619-e2076337c1ec,Negotiation & Communication,99ec5b40-e929-4ad9-bccf-7305ef6938b1
1a3be8fd-5d59-4a8a-85e5-153f794bfb24,Cognitive Science,1fab5205-d2f2-4719-bfce-04b4fd2d8f04
1f08bfa5-4c61-48ad-8d30-f65edd3b6873,Media Studies,2d7e3f48-c34f-45c6-96dd-f46570f40778
1fab5205-d2f2-4719-bfce-04b4fd2d8f04,Science & Math,
2276370a-040b-4af9-a4be-2462a833cc07,Music,aedb383a-4825-4f88-803a-990f9eb8aa45
236bb608-be91-4dee-8b66-c9dfb7f9840a,Biological Engineering,952604ab-ae23-45b3-a040-0e5f26fe42df
246f8a67-7e5a-4231-8e70-27900354eec7,Gender Studies,bbf9880d-8761-4747-8bf7-76b633afc8ac
24807a26-7f06-4017-b663-98dc2448e815,Education Policy,97de7fb3-a934-496d-90cc-1ab3ea6f7660
26fb26b7-326e-4d8e-87c9-3eaf775e9ef4,Energy,58eeca97-031c-432f-89f5-5b6493bf0dd2
285f869f-a2e1-4cc0-a27f-85f608c8af4e,Theater,aedb383a-4825-4f88-803a-990f9eb8aa45
287c2f78-4f6c-4a8a-a6a6-c497eb553bc5,Civil Engineering,952604ab-ae23-45b3-a040-0e5f26fe42df
29ba1dbc-5bf4-4bc5-be89-824eb604e281,Computer Science,c06109bf-cff8-4873-b04b-f5e66e3e1764
2d5d6d26-3f61-4e66-85bf-03168e982d41,Anthropology,bbf9880d-8761-4747-8bf7-76b633afc8ac
2d7e3f48-c34f-45c6-96dd-f46570f40778,"Art, Design & Architecture",
2dbae50d-5389-4ba3-9876-3d67fc9b0170,Family Enterprise,99ec5b40-e929-4ad9-bccf-7305ef6938b1
339ae048-105a-4cf6-b823-37b7c0f0c089,Operations,99ec5b40-e929-4ad9-bccf-7305ef6938b1
3d3af584-54a8-4144-b10b-2a2a61c3a053,AR/VR/MR/XR,c06109bf-cff8-4873-b04b-f5e66e3e1764
3e48abd0-b55b-47e8-8691-606c6efd61bf,Machine Learning,c06109bf-cff8-4873-b04b-f5e66e3e1764
3ed6c5ae-2dbf-4119-abf1-1e985e5d6fea,Earth Science,1fab5205-d2f2-4719-bfce-04b4fd2d8f04
3f5b5755-5c75-4e06-9990-6d790f784538,Imaging,7a48848c-8254-4644-a718-ea7951272b2f
4176e385-92c5-4e02-b3cc-4f34d9a4bf40,Manufacturing,952604ab-ae23-45b3-a040-0e5f26fe42df
46b96e82-66ce-443a-af36-5757c1dbdb1b,Physics,1fab5205-d2f2-4719-bfce-04b4fd2d8f04
49358bd7-4e8c-4b37-bcc0-cf3b20d3b9a2,Startups/New Enterprises,c0f67cd5-c3f2-458c-85e7-a2144c6e5e9d
4cd6156e-51a0-4da4-add4-6f81e106cd43,Programming & Coding,c06109bf-cff8-4873-b04b-f5e66e3e1764
4ce508b8-fbda-408c-b33f-9860d799c62c,Nuclear Engineering,952604ab-ae23-45b3-a040-0e5f26fe42df
55e47e91-75ef-4369-80be-a726d084ce0d,Urban Studies,bbf9880d-8761-4747-8bf7-76b633afc8ac
56e5023a-4823-4838-90d6-3c7e5c4878fd,Inventions & Patents,c0f67cd5-c3f2-458c-85e7-a2144c6e5e9d
58eeca97-031c-432f-89f5-5b6493bf0dd2,"Energy, Climate & Sustainability",
598fd5dc-9e5b-4e87-8cb5-40dd51a579af,Performing Arts,2d7e3f48-c34f-45c6-96dd-f46570f40778
59db0d7b-b056-47c4-a7f4-3ebd2a31aecf,Software Design and Engineering,c06109bf-cff8-4873-b04b-f5e66e3e1764
5c25e4e0-f02b-4ac9-80db-498e07918254,Environmental Design,2d7e3f48-c34f-45c6-96dd-f46570f40778
5d51196b-88c7-41a2-a951-c04f9af7ae62,Political Science,bbf9880d-8761-4747-8bf7-76b633afc8ac
63c236c0-17cb-4a5b-ab6d-23c9176738ff,Chemistry,1fab5205-d2f2-4719-bfce-04b4fd2d8f04
69995333-6068-4190-913c-a394b48ad233,Biology,1fab5205-d2f2-4719-bfce-04b4fd2d8f04
69ce72a6-049d-4380-b4d9-978e5c8b3fff,Pedagogy and Curriculum,97de7fb3-a934-496d-90cc-1ab3ea6f7660
6c3cf991-cfd6-4293-86dd-8e1cea682065,Communication,bbf9880d-8761-4747-8bf7-76b633afc8ac
6ce56c4e-d3c3-49ff-84b4-52f6e583e6e5,Aerospace Engineering,952604ab-ae23-45b3-a040-0e5f26fe42df
6d8c46d8-d774-4e8a-90bf-c09c895d853a,Religion,aedb383a-4825-4f88-803a-990f9eb8aa45
6de6133e-1484-4c44-a0da-bebfba14ebe7,Adaptation and Resilience,58eeca97-031c-432f-89f5-5b6493bf0dd2
