courserun_readable_id,certificate_page_id,certificate_page_revision_id
course-v1:MITx+6.SFMx+1T2014,1334,4172
course-v1:MITx+3.032x+3T2014,1332,4173
course-v1:MITx+15.S23x+3T2014,1330,
course-v1:MITx+3.072x+1T2015,1328,4177
course-v1:MITx+2.03x+3T2013,1326,4179
course-v1:MITx+9.01x+3T2014,1324,4181
course-v1:MITx+15.390.1x_1_TUR+1T2015,1322,4182
course-v1:MITx+15.390.2x_1+2T2015,1320,4183
course-v1:MITx+8.02x+2013_Spring,1318,
course-v1:MITx+15.390.2x_TUR+1T2015,1316,4184
course-v1:MITx+MAS.S69x+1T2014,1314,4186
course-v1:MITx+15.390.1x_TUR+1T2015,1312,4187
course-v1:MITx+15.390.2x_1_TUR+2T2015,1308,
course-v1:MITx+15.390.2x+3T2014,1308,
course-v1:MITx+15.390.1x_1+1T2015,1306,4188
course-v1:MITx+8.MReVx+2T2014,1304,4193
course-v1:MITx+0.111x+2T2015,1302,4195
course-v1:MITx+15.390x+1T2014,1298,4189
course-v1:MITx+8.01x+2013_SOND,1296,4191
course-v1:MITx+6.002_4x+3T2014,1294,4192
course-v1:MITx+6.002x_6x+1T2015,1294,4192
course-v1:MITx+6.002x+2013_Spring,1294,4192
course-v1:MITx+EECS.6.002x+3T2013,1294,4192
course-v1:MITx+6.341x+3T2014,1292,4198
course-v1:MITx+6.041x_1+1T2015,1290,4201
course-v1:MITx+6.041x+1T2014,1290,4201
course-v1:MITx+21W.789x_2+1T2015,1257,4202
course-v1:MITx+21W.789x+1T2014,1257,4202
course-v1:MITx+8.MechCx+1T2015,1221,
course-v1:MITx+16.110x+1T2014,1217,
course-v1:MITx+15.390.1x+3T2014,1211,
course-v1:MITx+4.605x_2+3T2014,1201,
course-v1:MITx+4.605x+2013_SOND,1201,4233
course-v1:MITx+11.126x+3T2014,1189,
course-v1:MITx+12_340x+1T2014,1161,
course-v1:MITx+11.127x+1T2015,1155,
course-v1:MITx+uINOV8x+2T2015,1147,
course-v1:MITx+JPAL101SPAx+1T2015,1135,
course-v1:MITx+10.03x+2T2015,1111,
course-v1:MITx+6.00.2_2x+3T2014,1107,
course-v1:MITx+6.00.2x_3+1T2015,1107,
course-v1:MITx+6.00.2x+1T2014,1107,
course-v1:MITx+11.133x+2T2015,1095,
course-v1:MITx+16.00x+1T2015,1069,
course-v1:MITx+CTL.SC1x_1+2T2015,1067,
course-v1:MITx+ESD.SCM1x+3T2014,1067,
course-v1:MITx+3.091x_2+1T2014,1063,
course-v1:MITx+3.091x_3+3T2014,1063,
course-v1:MITx+3.091x_4+1T2015,1063,
course-v1:MITx+15.390.1x_SPA+1T1015,1029,
course-v1:MITx+15.662x+1T2015,1021,
course-v1:MITx+6.004.1x+1T2015,1007,
course-v1:MITx+15.390.2x_SPA+2T2015,993,
course-v1:MITx+6.00.1_3x+2T2014,987,
course-v1:MITx+6.00.1_4x+3T2014,987,
course-v1:MITx+6.00.1-x+1T2014,987,
course-v1:MITx+6.00.1x_5+1T2015,987,
course-v1:MITx+6.00.1x_6+2T2015,987,
course-v1:MITx+6.832x+3T2014,977,
course-v1:MITx+11.132x+3T2014,957,
course-v1:MITx+15.071x_2+1T2015,951,
course-v1:MITx+15.071x_2a+2T2015,951,
course-v1:MITx+15.071x+1T2014,951,
course-v1:MITx+7.00x_2+2T2014,874,
course-v1:MITx+7.00x+2013_SOND,874,
course-v1:MITx+2.01x_3+2T2016,540,
course-v1:MITx+2.01x+2T2014,540,
course-v1:VJx+VJx+3T2014,501,
course-v1:MITx+7.QBW_1x+1T2015,438,
course-v1:MITx+7.QBWx+2T2014,438,
course-v1:MITx+7.28.1x+1T2015,444,
course-v1:MITx+8.05x+1T2015,173,
course-v1:MITx+18.01.1x+2T2015,220,
course-v1:MITx+24.00_1x+3T2014,158,
course-v1:MITx+24.00x+2013_SOND,158,
course-v1:MITx+3.086-2x+1T2015,216,
course-v1:MITx+3.086x+2013_SOND,216,
course-v1:MITx+JPAL101_1x+3T2014,110,
course-v1:MITx+JPAL101x_3+1T2015,110,
course-v1:MITx+JPAL101x+1T2014,110,
course-v1:MITx+3.15x+1T2015,108,
course-v1:MITx+24.118x+2T2015,268,
